gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000085662,7380.169923,-0.772084322,0.081840215,4.79E-22,5.38E-20,AKR1B1
ENSG00000185033,3992.553877,-0.7406645,0.078515815,4.99E-22,5.56E-20,SEMA4B
ENSG00000135318,1495.020274,-1.07923495,0.115250905,6.07E-22,6.73E-20,NT5E
ENSG00000104472,2206.557938,0.720102524,0.076566899,6.94E-22,7.64E-20,CHRAC1
ENSG00000113441,2364.40959,0.853000058,0.090951612,7.17E-22,7.85E-20,LNPEP
ENSG00000008513,3164.486569,0.741773628,0.078958855,7.46E-22,8.12E-20,ST3GAL1
ENSG00000204219,312.6212207,-1.498979437,0.161631207,1.14E-21,1.24E-19,TCEA3
ENSG00000171914,220.6496652,-1.676033625,0.18103414,1.28E-21,1.38E-19,TLN2
ENSG00000156510,184.9731458,-1.841573975,0.198972522,1.31E-21,1.40E-19,HKDC1
ENSG00000120137,3460.804812,0.802587162,0.086203666,1.44E-21,1.53E-19,PANK3
ENSG00000025039,761.0877346,-1.061059275,0.114493321,1.55E-21,1.63E-19,RRAGD
ENSG00000177000,800.0382918,0.985953118,0.106670494,2.18E-21,2.29E-19,MTHFR
ENSG00000152661,159.25465,-2.546835004,0.27766798,2.54E-21,2.65E-19,GJA1
ENSG00000118985,902.4858014,-1.14804146,0.124779573,2.69E-21,2.79E-19,ELL2
ENSG00000197746,45347.50695,-0.56679073,0.061004241,2.77E-21,2.86E-19,PSAP
ENSG00000187608,645.4851872,-1.340882267,0.146009216,2.82E-21,2.90E-19,ISG15
ENSG00000091986,118.1232734,-2.182386015,0.238313562,3.27E-21,3.34E-19,CCDC80
ENSG00000186815,666.1398321,-1.136768868,0.124244801,4.46E-21,4.53E-19,TPCN1
ENSG00000128165,284.6904647,-1.586759717,0.174141913,5.01E-21,5.03E-19,ADM2
ENSG00000154914,493.6701739,1.119455665,0.122460844,5.00E-21,5.03E-19,USP43
ENSG00000165029,413.4468879,-1.743167296,0.192031602,6.38E-21,6.38E-19,ABCA1
ENSG00000077782,904.7699777,-0.891575865,0.097956887,8.70E-21,8.65E-19,FGFR1
ENSG00000170873,591.2955117,-1.202453686,0.132796566,9.86E-21,9.75E-19,MTSS1
ENSG00000104951,67.43884682,-3.590725728,0.400654954,2.58E-20,2.54E-18,IL4I1
ENSG00000021300,308.2008774,-1.380865953,0.154926424,3.35E-20,3.28E-18,PLEKHB1
ENSG00000071282,452.8501855,-1.303790535,0.146290919,3.47E-20,3.38E-18,LMCD1
ENSG00000104341,11611.96473,0.573312419,0.06362868,4.87E-20,4.72E-18,LAPTM4B
ENSG00000275993,2676.767884,1.102119176,0.124116394,5.43E-20,5.23E-18,
ENSG00000104419,2780.553129,-0.80645078,0.09094066,8.39E-20,8.04E-18,NDRG1
ENSG00000171604,171.973623,-1.899252715,0.216272515,9.34E-20,8.91E-18,CXXC5
ENSG00000197635,282.6733728,-1.639875113,0.187341255,1.29E-19,1.22E-17,DPP4
ENSG00000186575,5970.691121,0.608691648,0.068709558,1.40E-19,1.32E-17,NF2
ENSG00000197329,1095.126248,0.825406912,0.093757499,1.46E-19,1.37E-17,PELI1
ENSG00000092964,1700.823822,0.811642898,0.092301005,1.63E-19,1.52E-17,DPYSL2
ENSG00000101457,2227.920044,-0.7219795,0.082374525,2.43E-19,2.25E-17,DNTTIP1
ENSG00000132434,833.0842096,0.867539609,0.099414922,2.73E-19,2.52E-17,LANCL2
ENSG00000126878,296.3853085,-1.297982786,0.149602491,2.90E-19,2.66E-17,AIF1L
ENSG00000129951,213.601586,-1.598916247,0.184613427,2.91E-19,2.66E-17,PLPPR3
ENSG00000210082,104463.3382,-0.650928193,0.074480889,3.73E-19,3.40E-17,MT-RNR2
ENSG00000183853,11438.87875,0.765110314,0.087936048,4.07E-19,3.69E-17,KIRREL1
ENSG00000161681,961.9413088,-0.831229349,0.095918647,4.78E-19,4.31E-17,SHANK1
ENSG00000213190,278.2705775,-1.292785001,0.15041308,5.90E-19,5.27E-17,MLLT11
ENSG00000225206,535.5650266,1.035098895,0.120126509,5.88E-19,5.27E-17,MIR137HG
ENSG00000167964,135.1227866,-1.853942646,0.216122902,6.02E-19,5.35E-17,RAB26
ENSG00000161638,3131.850303,-0.752846869,0.087192062,7.80E-19,6.88E-17,ITGA5
ENSG00000182809,908.1149723,-0.929174871,0.108149663,7.82E-19,6.88E-17,CRIP2
ENSG00000153234,352.1697936,1.504914633,0.176555812,1.03E-18,9.05E-17,NR4A2
ENSG00000187325,2315.770874,0.780553999,0.090931292,1.07E-18,9.35E-17,TAF9B
ENSG00000173482,1637.82291,-0.830155441,0.096967419,1.19E-18,1.03E-16,PTPRM
ENSG00000042493,2634.469185,-0.799465533,0.09344428,1.31E-18,1.13E-16,CAPG
ENSG00000116560,11740.38154,0.551244624,0.06393246,1.31E-18,1.13E-16,SFPQ
ENSG00000168487,727.9123582,-1.084019208,0.127571996,1.53E-18,1.31E-16,BMP1
ENSG00000113273,769.8729609,0.869559813,0.102134985,1.74E-18,1.48E-16,ARSB
ENSG00000108828,9181.779684,-0.568565882,0.066276899,1.80E-18,1.53E-16,VAT1
ENSG00000184009,81731.6083,0.577520579,0.067421038,2.02E-18,1.70E-16,ACTG1
ENSG00000105968,10303.9256,0.674433135,0.079156367,2.46E-18,2.07E-16,H2AZ2
ENSG00000167600,260.2492223,-1.373758048,0.163278681,2.69E-18,2.25E-16,CYP2S1
ENSG00000198796,998.3924051,-1.237993593,0.147146002,2.80E-18,2.33E-16,ALPK2
ENSG00000177675,103.530102,-2.462045508,0.293553062,2.99E-18,2.47E-16,CD163L1
ENSG00000204387,1359.846604,-1.164319861,0.138461621,3.08E-18,2.54E-16,SNHG32
ENSG00000095752,81.69776326,-2.542762349,0.303614856,3.52E-18,2.89E-16,IL11
ENSG00000156875,2248.303618,0.806699934,0.095796354,4.25E-18,3.47E-16,MFSD14A
ENSG00000147889,1947.736372,-0.662033908,0.078372011,4.36E-18,3.55E-16,CDKN2A
ENSG00000173852,2405.399279,0.836814191,0.099568473,4.59E-18,3.72E-16,DPY19L1
ENSG00000167680,418.0753868,-1.383153585,0.165705243,4.65E-18,3.75E-16,SEMA6B
ENSG00000125257,2621.204694,0.849937827,0.101209908,4.85E-18,3.89E-16,ABCC4
ENSG00000133069,229.9175731,-1.663446592,0.199977574,5.33E-18,4.26E-16,TMCC2
ENSG00000182986,2088.537508,0.752406003,0.089547419,5.44E-18,4.33E-16,ZNF320
ENSG00000133816,11111.95264,0.55260376,0.065541001,7.00E-18,5.55E-16,MICAL2
ENSG00000180720,236.1766922,-1.422826678,0.171607265,7.37E-18,5.82E-16,CHRM4
ENSG00000090861,8643.659718,-0.679433088,0.081146715,7.87E-18,6.19E-16,AARS1
ENSG00000144802,5559.449106,0.755480261,0.090614862,9.43E-18,7.38E-16,NFKBIZ
ENSG00000142871,24882.47554,0.673219996,0.080794619,1.15E-17,9.00E-16,CCN1
